source_store,source_product_id,source_name,source_brand,source_gtin,source_price_per_unit,source_unit,source_quantity,target_store,target_product_id,target_name,target_brand,target_gtin,target_price_per_unit,target_unit,target_quantity,candidate_bucket,lexical_score,token_score,trigram_score,same_global_gtin,unit_compatible,blocking_attributes,automated_suggestion,automated_reason,human_label,review_reason,reviewer,reviewed_at,match_version
consum,7191505,Compota de Manzana y Pera,,8437010537080,8.48,kg,400 gr,hiperdino,000000000004432838,Pom'bel puré de manzana y pera 4 x 100 g,,8437010537080,,,400 g,exact_gtin,0.513889,0.500000,0.539683,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:33:25.462Z,baseline_candidates_v1
carrefour,825606323,Crema fortificante Age Perfect Golden Age L'Oréal 50 ml.,,3600523216642,422,l,50 ml,hiperdino,000000000001903492,L'Oréal age perfect golden crema de día 50 ml,,3600523216642,,,50 ml,exact_gtin,0.853409,0.909091,0.750000,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:33:57.312Z,baseline_candidates_v1
carrefour,VC4AECOMM-709923,Kétchup Cero Prima sin gluten envase 265 g.,,8410118050194,7.74,kg,265 g,consum,7474047,Ketchup Cero Más 35G,PRIMA,8410118050194,6.5,kg,35 g,exact_gtin,0.557143,0.571429,0.530612,true,true,sin_gluten,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:34:04.979Z,baseline_candidates_v1
consum,7411341,Laca Volumen,PANTENE,8006540346631,11.8,l,370 ml,hiperdino,000000000003380895,Pantene laca volumen perfecto 370 ml,,8006540346631,,,370 ml,exact_gtin,0.620000,0.666667,0.533333,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:34:31.770Z,baseline_candidates_v1
alcampo,7bc0f66f-dc6a-4502-8fcd-52001288726b,SAN MIGUEL Cervezas sin alcohol 0% Pack 6 uds. x 25 cl.,SAN MIGUEL,8410655006173,2,l,6 uds,carrefour,520661348,"Cerveza San Miguel 0,0 alcohol pack 6 botellas 25 cl.",,8410655006173,2.03,l,25 cl,exact_gtin,0.666667,0.666667,0.666667,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:34:36.646Z,baseline_candidates_v1
carrefour,fprod1190066,"Café cápsulas espresso clássico Illy compatible con Nespresso 10 unidades de 5,7 g.",,8003753158679,0.62,ud,5.7 g,hiperdino,000000000003983331,Illy café clasico en cápsulas 10 ud,,8003753158679,,,10 ud,exact_gtin,0.485550,0.500000,0.458716,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:34:41.425Z,baseline_candidates_v1
alcampo,15b38964-ddcb-4c62-b519-4c9165e87f71,"PESCANOVA Rollitos de mar sin conservantes, ni colorantes PESCANOVA 450 g.",PESCANOVA,8410063039664,5.14,kg,450 g,consum,7467942,Tronquitos de Mar .,PESCANOVA,8410063039664,5.98,kg,500 gr,exact_gtin,0.266174,0.285714,0.229885,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:35:16.760Z,baseline_candidates_v1
consum,7480234,Cerveza sin Filtrar Limón Lata,EL ÁGUILA,8411090617306,2.58,l,0.33 l,hiperdino,000000000003967485,El Águila sin filtrar con limón 33 cl,,8411090617306,,,33 cl,exact_gtin,0.643333,0.666667,0.600000,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:35:21.238Z,baseline_candidates_v1
carrefour,652602046,Coloración Permanente nº 4 Castaño Garnier Color Sensation 1 ud.,,3600541176492,3.79,ud,1 ud,consum,7429707,Tinte 4.0 Castaño Color Sensation,GARNIER,3600541176492,3.8,ud,1 u,exact_gtin,0.628298,0.600000,0.680851,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:35:27.727Z,baseline_candidates_v1
carrefour,VC4AECOMM-520579,Batido Proteína al cacao Celta 250 ml.,,8414044004108,4.48,l,250 ml,consum,7475184,Batido + Proteina Sabor Cacao,CELTA,8414044004108,4.6,l,250 ml,exact_gtin,0.728484,0.750000,0.688525,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:35:42.622Z,baseline_candidates_v1
